GEOID,total,over_200,percent
53033007700,2126,167,7.85512699905927
53033007800,2141,722,33.7225595516114
53033007900,2907,140,4.81596147230822
53033008001,3810,443,11.6272965879265
53033008002,2124,247,11.6290018832392
53033008100,2452,296,12.0717781402936
53033008200,2338,109,4.66210436270316
53033008300,1817,74,4.07264722069345
53033008400,2984,145,4.85924932975871
53033008500,1592,14,0.879396984924623
53033008600,1790,8,0.446927374301676
53033008700,1626,84,5.16605166051661
53033008800,1447,92,6.35798203178991
53033008900,2121,246,11.5983026874116
53033009000,1553,0,0
53033009100,1292,11,0.851393188854489
53033009200,1732,37,2.13625866050808
53033009300,944,34,3.60169491525424
53033009400,2442,52,2.12940212940213
53033009500,2340,430,18.3760683760684
53033009600,2891,425,14.7007955724663
53033009701,2895,302,10.4317789291883
53033009702,2182,92,4.21631530705775
53033009800,3015,235,7.79436152570481
53033009900,2387,141,5.90699622957687
53033010001,1687,73,4.3272080616479
53033010002,1636,20,1.22249388753056
53033010100,2630,156,5.93155893536122
53033010200,1940,155,7.98969072164948
53033010300,2332,32,1.37221269296741
53033010401,1415,61,4.31095406360424
53033010402,1478,98,6.63058186738836
53033010500,3194,262,8.20288040075141
53033010600,3580,412,11.5083798882682
53033010701,1310,13,0.99236641221374
53033010702,1421,102,7.1780436312456
53033010800,1680,121,7.20238095238095
53033010900,630,0,0
53033011001,1576,36,2.28426395939086
53033011002,1259,18,1.42970611596505
53033011101,1531,47,3.0698889614631
53033011102,1436,123,8.56545961002785
53033011200,1332,41,3.07807807807808
53033011300,2542,74,2.9110936270653
53033011401,1704,0,0
53033011402,1803,11,0.610094287298946
53033011500,1982,83,4.18768920282543
53033011600,2830,566,20
53033011700,1696,12,0.707547169811321
53033011800,2862,160,5.59049615653389
53033011900,2514,27,1.07398568019093
53033012000,1457,95,6.52024708304736
53033012100,1182,164,13.8747884940778
53033020100,1264,116,9.17721518987342
53033020200,2145,111,5.17482517482518
53033020300,2657,122,4.59164471208129
53033020401,1381,24,1.73787110789283
53033020402,2210,131,5.92760180995475
53033020500,2679,91,3.39678984695782
53033020600,1278,53,4.1471048513302
53033020700,1492,15,1.00536193029491
53033020800,1658,243,14.6562123039807
53033020900,1383,171,12.3644251626898
53033021000,2135,121,5.66744730679157
53033021100,1636,82,5.01222493887531
53033021300,1605,164,10.2180685358255
53033021400,1437,208,14.4745998608212
53033021500,1653,295,17.8463399879008
53033021600,1748,197,11.2700228832952
53033021700,3241,135,4.16538105522987
53033021802,2097,127,6.05627086313782
53033021803,1800,54,3
53033021804,1736,112,6.45161290322581
53033021903,2557,118,4.61478294876809
53033021904,2011,184,9.14967677772253
53033021905,2118,154,7.2710103871577
53033021906,1735,159,9.164265129683
53033022001,2011,160,7.95624067628046
53033022003,2168,110,5.07380073800738
53033022005,2145,137,6.38694638694639
53033022006,1635,119,7.2782874617737
53033022101,1766,252,14.2695356738392
53033022102,2167,243,11.2136594370097
53033022201,1817,67,3.68739680792515
53033022202,3381,191,5.64921620822242
53033022203,2033,352,17.314313821938
53033022300,1154,281,24.3500866551127
53033022400,3497,709,20.2745210180154
53033022500,3669,568,15.481057508858
53033022603,2109,191,9.05642484589853
53033022604,1599,190,11.8824265165729
53033022605,2475,241,9.73737373737374
53033022606,2315,234,10.1079913606911
53033022701,1447,245,16.9315825846579
53033022702,1310,231,17.6335877862595
53033022703,808,138,17.0792079207921
53033022801,4072,388,9.52848722986248
53033022802,2117,321,15.1629664619745
53033022803,2333,380,16.2880411487355
53033022901,995,156,15.678391959799
53033022902,2562,568,22.1701795472287
53033023000,1832,314,17.1397379912664
53033023100,1394,262,18.7948350071736
53033023201,2492,184,7.38362760834671
53033023202,1814,88,4.85115766262404
53033023300,2289,213,9.30537352555701
53033023401,1424,96,6.74157303370786
53033023403,1592,307,19.28391959799
53033023404,1203,188,15.6275976724855
53033023500,1457,167,11.461908030199
53033023601,1682,130,7.72889417360285
53033023603,2471,214,8.66046135167948
53033023604,2547,154,6.04632901452689
53033023700,1706,335,19.6365767878077
53033023801,1246,45,3.6115569823435
53033023803,1903,202,10.6148187073043
53033023804,2935,280,9.54003407155026
53033023900,2907,666,22.9102167182663
53033024000,3294,502,15.2398299939284
53033024100,1526,737,48.2961992136304
53033024200,986,426,43.2048681541582
53033024300,3339,803,24.0491165019467
53033024400,1298,203,15.6394453004622
53033024500,1730,589,34.0462427745665
53033024601,1658,702,42.3401688781665
53033024602,1310,573,43.7404580152672
53033024701,1316,134,10.1823708206687
53033024702,2751,339,12.3227917121047
53033024800,2439,108,4.4280442804428
53033024901,1765,352,19.943342776204
53033024902,1370,238,17.3722627737226
53033024903,2309,756,32.7414465136423
53033025001,1738,191,10.9896432681243
53033025003,2578,776,30.1008533747091
53033025005,1773,450,25.3807106598985
53033025006,2006,546,27.2183449651047
53033025101,2128,96,4.51127819548872
53033025102,2636,70,2.65553869499241
53033025200,3117,132,4.23484119345525
53033025301,2171,135,6.21833256563795
53033025302,2600,107,4.11538461538461
53033025400,2929,42,1.43393649709799
53033025500,1890,47,2.48677248677249
53033025601,1906,27,1.41657922350472
53033025602,2078,186,8.95091434071222
53033025701,2682,21,0.782997762863535
53033025702,1300,87,6.69230769230769
53033025803,1693,25,1.47666863555818
53033025804,1308,21,1.60550458715596
53033025805,1829,13,0.71077091306725
53033025806,1790,62,3.46368715083799
53033026001,2168,97,4.47416974169742
53033026002,3227,125,3.87356678029129
